5	0.679	0.645	0.349
4	0.229	-0.638	0.735
3	0.696	-0.417	-0.584
5	-0.652	0.750	-0.114
4	0.972	0.190	-0.142
5	0.329	0.146	-0.933
2	-0.032	-0.864	-0.503
5	0.217	0.888	-0.404
4	0.065	-0.677	-0.733
3	-0.645	0.008	-0.764
5	-0.963	0.075	0.260
4	0.358	0.932	-0.049
5	0.453	0.054	0.890
5	0.242	-0.755	-0.610
3	0.465	0.828	-0.312
4	0.780	-0.622	-0.071
5	0.877	-0.174	0.448
1	0.650	0.367	-0.665
5	-0.736	-0.526	0.427
4	-0.619	-0.202	-0.759
5	-0.339	0.627	-0.702
3	0.432	-0.871	0.233
4	0.506	0.109	-0.856
5	-0.105	-0.968	-0.229
2	0.110	0.485	-0.868
5	0.597	-0.329	-0.731
4	-0.263	0.965	-0.022
5	-0.240	-0.517	-0.822
3	0.277	0.725	0.631
4	-0.084	0.018	-0.996
5	-0.949	-0.289	-0.126
5	-0.175	-0.584	0.793
4	-0.786	-0.566	-0.250
3	-0.205	-0.265	0.942
5	-0.723	0.618	0.308
2	-0.985	0.137	-0.111
5	-0.218	0.956	-0.194
4	0.816	-0.353	0.459
5	-0.047	0.189	0.981
4	0.508	0.635	-0.582
3	0.995	0.099	0.015
5	0.582	0.812	-0.050
5	-0.623	0.328	-0.710
4	-0.603	0.492	0.628
5	0.756	0.120	-0.643
3	0.257	-0.897	-0.360
4	0.352	0.797	0.491
5	0.727	0.307	0.614
2	0.726	0.668	-0.163
5	-0.919	0.388	-0.064
4	0.875	-0.104	-0.472
5	0.329	-0.915	-0.234
3	0.777	0.305	-0.550
4	0.008	0.886	-0.463
5	-0.127	0.283	-0.951
5	-0.279	-0.797	-0.535
4	-0.497	0.259	-0.828
3	0.424	-0.529	0.735
5	0.510	0.511	-0.692
4	0.952	0.061	0.302
5	-0.271	0.459	0.846
2	0.534	-0.767	0.354
5	0.616	-0.650	0.445
4	-0.369	0.837	0.405
3	0.761	0.519	0.390
5	0.919	0.341	-0.198
4	0.223	-0.278	-0.934
5	0.225	0.971	-0.085
5	0.828	-0.317	-0.463
3	0.081	-0.344	-0.935
4	0.758	0.598	-0.259
5	0.105	-0.818	0.565
1	0.487	0.455	0.745
5	0.902	0.143	0.407
4	-0.595	0.732	-0.332
5	-0.508	-0.549	-0.663
2	0.472	-0.260	-0.843
3	0.863	-0.494	0.105
4	-0.201	-0.431	0.879
5	0.511	-0.063	-0.858
5	0.507	-0.716	-0.479
4	0.339	0.471	0.814
5	-0.793	-0.609	-0.004
3	-0.086	-0.781	0.619
4	-0.962	0.265	0.066
5	0.197	0.011	0.980
5	0.995	-0.076	0.072
4	0.036	0.964	0.263
3	0.289	0.946	0.144
5	-0.481	-0.757	0.443
2	0.491	0.224	0.842
5	0.406	-0.840	0.360
4	-0.749	-0.269	0.606
5	-0.029	-0.716	-0.698
4	0.698	0.464	0.545
3	0.595	-0.047	-0.802
5	-0.703	0.040	-0.710
5	0.430	0.873	0.231
4	0.336	0.861	-0.382
5	-0.092	0.528	-0.844
3	0.903	-0.091	0.421
4	0.551	-0.555	0.623
5	-0.817	0.492	-0.301
2	-0.071	-0.979	0.191
5	0.889	0.155	-0.431
4	-0.777	0.503	0.377
5	0.132	-0.989	-0.070
3	-0.274	-0.108	-0.956
4	-0.113	-0.300	-0.947
5	0.523	0.277	-0.806
5	0.583	-0.800	-0.140
4	-0.600	-0.791	-0.118
3	-0.825	-0.554	0.111
5	0.305	0.291	0.907
4	-0.126	0.366	-0.922
5	0.895	-0.398	-0.200
2	0.868	0.029	-0.496
5	-0.393	0.318	-0.863
4	-0.538	0.842	0.047
3	-0.642	0.726	0.246
5	-0.837	-0.441	-0.325
4	-0.592	0.197	0.781
5	-0.297	0.198	0.934
5	0.060	-0.894	-0.445
3	-0.036	0.983	-0.182
4	0.805	-0.025	0.593
5	-0.224	-0.753	0.619
1	-0.739	0.647	-0.188
5	-0.499	0.547	0.672
4	0.271	-0.889	0.368
5	-0.672	-0.697	0.249
3	0.255	-0.639	-0.725
4	-0.913	-0.406	-0.024
5	0.130	0.300	-0.945
2	0.599	-0.720	-0.351
5	-0.744	0.402	-0.534
4	0.341	-0.622	-0.705
5	0.008	0.961	-0.276
3	0.934	-0.163	-0.317
